2025-06-07 07:43:20 status unpacked libpam0g:arm64 1.5.2-6+deb12u1
2025-06-07 07:43:20 install libpcre2-8-0:arm64 <none> 10.42-1
2025-06-07 07:43:20 status half-installed libpcre2-8-0:arm64 10.42-1
2025-06-07 07:43:20 status unpacked libpcre2-8-0:arm64 10.42-1
2025-06-07 07:43:21 install libseccomp2:arm64 <none> 2.5.4-1+deb12u1
2025-06-07 07:43:21 status half-installed libseccomp2:arm64 2.5.4-1+deb12u1
2025-06-07 07:43:21 status unpacked libseccomp2:arm64 2.5.4-1+deb12u1
2025-06-07 07:43:21 install libselinux1:arm64 <none> 3.4-1+b6
2025-06-07 07:43:21 status half-installed libselinux1:arm64 3.4-1+b6
2025-06-07 07:43:21 status unpacked libselinux1:arm64 3.4-1+b6
2025-06-07 07:43:21 install libsemanage-common:all <none> 3.4-1
2025-06-07 07:43:21 status half-installed libsemanage-common:all 3.4-1
2025-06-07 07:43:21 status unpacked libsemanage-common:all 3.4-1
2025-06-07 07:43:21 install libsemanage2:arm64 <none> 3.4-1+b5
2025-06-07 07:43:21 status half-installed libsemanage2:arm64 3.4-1+b5
2025-06-07 07:43:21 status unpacked libsemanage2:arm64 3.4-1+b5
2025-06-07 07:43:21 install libsepol2:arm64 <none> 3.4-2.1
2025-06-07 07:43:21 status half-installed libsepol2:arm64 3.4-2.1
2025-06-07 07:43:22 status unpacked libsepol2:arm64 3.4-2.1
2025-06-07 07:43:22 install libsmartcols1:arm64 <none> 2.38.1-5+deb12u3
2025-06-07 07:43:22 status half-installed libsmartcols1:arm64 2.38.1-5+deb12u3
2025-06-07 07:43:22 status unpacked libsmartcols1:arm64 2.38.1-5+deb12u3
2025-06-07 07:43:22 install libss2:arm64 <none> 1.47.0-2
2025-06-07 07:43:22 status half-installed libss2:arm64 1.47.0-2
2025-06-07 07:43:22 status unpacked libss2:arm64 1.47.0-2
2025-06-07 07:43:22 install libstdc++6:arm64 <none> 12.2.0-14+deb12u1
2025-06-07 07:43:22 status half-installed libstdc++6:arm64 12.2.0-14+deb12u1
2025-06-07 07:43:22 status unpacked libstdc++6:arm64 12.2.0-14+deb12u1
2025-06-07 07:43:23 install libsystemd0:arm64 <none> 252.36-1~deb12u1
2025-06-07 07:43:23 status half-installed libsystemd0:arm64 252.36-1~deb12u1
2025-06-07 07:43:23 status unpacked libsystemd0:arm64 252.36-1~deb12u1
2025-06-07 07:43:23 install libtasn1-6:arm64 <none> 4.19.0-2+deb12u1
2025-06-07 07:43:23 status half-installed libtasn1-6:arm64 4.19.0-2+deb12u1
2025-06-07 07:43:23 status unpacked libtasn1-6:arm64 4.19.0-2+deb12u1
2025-06-07 07:43:23 install libtinfo6:arm64 <none> 6.4-4
2025-06-07 07:43:23 status half-installed libtinfo6:arm64 6.4-4
2025-06-07 07:43:23 status unpacked libtinfo6:arm64 6.4-4
2025-06-07 07:43:23 install libudev1:arm64 <none> 252.36-1~deb12u1
2025-06-07 07:43:23 status half-installed libudev1:arm64 252.36-1~deb12u1
2025-06-07 07:43:23 status unpacked libudev1:arm64 252.36-1~deb12u1
2025-06-07 07:43:24 install libunistring2:arm64 <none> 1.0-2
2025-06-07 07:43:24 status half-installed libunistring2:arm64 1.0-2
2025-06-07 07:43:24 status unpacked libunistring2:arm64 1.0-2
2025-06-07 07:43:24 install libuuid1:arm64 <none> 2.38.1-5+deb12u3
2025-06-07 07:43:24 status half-installed libuuid1:arm64 2.38.1-5+deb12u3
2025-06-07 07:43:24 status unpacked libuuid1:arm64 2.38.1-5+deb12u3
2025-06-07 07:43:24 install libxxhash0:arm64 <none> 0.8.1-1
2025-06-07 07:43:24 status half-installed libxxhash0:arm64 0.8.1-1
2025-06-07 07:43:24 status unpacked libxxhash0:arm64 0.8.1-1
2025-06-07 07:43:24 install libzstd1:arm64 <none> 1.5.4+dfsg2-5
2025-06-07 07:43:24 status half-installed libzstd1:arm64 1.5.4+dfsg2-5
2025-06-07 07:43:24 status unpacked libzstd1:arm64 1.5.4+dfsg2-5
2025-06-07 07:43:25 install login:arm64 <none> 1:4.13+dfsg1-1+deb12u1
2025-06-07 07:43:25 status half-installed login:arm64 1:4.13+dfsg1-1+deb12u1
2025-06-07 07:43:25 status unpacked login:arm64 1:4.13+dfsg1-1+deb12u1
2025-06-07 07:43:25 install logsave:arm64 <none> 1.47.0-2
2025-06-07 07:43:25 status half-installed logsave:arm64 1.47.0-2
2025-06-07 07:43:25 status unpacked logsave:arm64 1.47.0-2
2025-06-07 07:43:25 upgrade mawk:arm64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2025-06-07 07:43:25 status half-configured mawk:arm64 1.3.4.20200120-3.1
2025-06-07 07:43:25 status unpacked mawk:arm64 1.3.4.20200120-3.1
2025-06-07 07:43:25 status half-installed mawk:arm64 1.3.4.20200120-3.1
2025-06-07 07:43:26 status unpacked mawk:arm64 1.3.4.20200120-3.1
2025-06-07 07:43:26 install mount:arm64 <none> 2.38.1-5+deb12u3
2025-06-07 07:43:26 status half-installed mount:arm64 2.38.1-5+deb12u3
2025-06-07 07:43:26 status unpacked mount:arm64 2.38.1-5+deb12u3
2025-06-07 07:43:26 install ncurses-base:all <none> 6.4-4
2025-06-07 07:43:26 status half-installed ncurses-base:all 6.4-4
2025-06-07 07:43:26 status unpacked ncurses-base:all 6.4-4
2025-06-07 07:43:26 install ncurses-bin:arm64 <none> 6.4-4
2025-06-07 07:43:26 status half-installed ncurses-bin:arm64 6.4-4
2025-06-07 07:43:26 status unpacked ncurses-bin:arm64 6.4-4
2025-06-07 07:43:27 install passwd:arm64 <none> 1:4.13+dfsg1-1+deb12u1
2025-06-07 07:43:27 status half-installed passwd:arm64 1:4.13+dfsg1-1+deb12u1
2025-06-07 07:43:27 status unpacked passwd:arm64 1:4.13+dfsg1-1+deb12u1
2025-06-07 07:43:27 upgrade perl-base:arm64 5.36.0-7+deb12u2 5.36.0-7+deb12u2
2025-06-07 07:43:27 status half-configured perl-base:arm64 5.36.0-7+deb12u2
2025-06-07 07:43:27 status unpacked perl-base:arm64 5.36.0-7+deb12u2
2025-06-07 07:43:27 status half-installed perl-base:arm64 5.36.0-7+deb12u2
2025-06-07 07:43:29 status unpacked perl-base:arm64 5.36.0-7+deb12u2
2025-06-07 07:43:29 install sed:arm64 <none> 4.9-1
2025-06-07 07:43:29 status half-installed sed:arm64 4.9-1
2025-06-07 07:43:29 status unpacked sed:arm64 4.9-1
2025-06-07 07:43:29 install sysvinit-utils:arm64 <none> 3.06-4
2025-06-07 07:43:29 status half-installed sysvinit-utils:arm64 3.06-4
2025-06-07 07:43:29 status unpacked sysvinit-utils:arm64 3.06-4
2025-06-07 07:43:29 install tar:arm64 <none> 1.34+dfsg-1.2+deb12u1
2025-06-07 07:43:29 status half-installed tar:arm64 1.34+dfsg-1.2+deb12u1
2025-06-07 07:43:30 status unpacked tar:arm64 1.34+dfsg-1.2+deb12u1
2025-06-07 07:43:30 install tzdata:all <none> 2025b-0+deb12u1
2025-06-07 07:43:30 status half-installed tzdata:all 2025b-0+deb12u1
